top - 04:54:25 up 12 min,  1 user,  load average: 0.87, 1.51, 1.23
Tasks: 100 total,   1 running,  99 sleeping,   0 stopped,   0 zombie
%Cpu(s): 59.1 us,  7.1 sy,  0.0 ni, 33.3 id,  0.4 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem :  3080332 total,  2878104 free,    43200 used,   159028 buff/cache
KiB Swap:   998396 total,   998396 free,        0 used.  2877024 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
  734 root      20   0   16120    856      0 S  0.0  0.0   0:00.00 dhclient
  832 root      20   0       0      0      0 S  0.0  0.0   0:00.08 kworker/0:3
  856 root      20   0  275864   6012   5304 S  0.0  0.2   0:00.90 accounts-daemon
  865 daemon    20   0   26040   2208   2012 S  0.0  0.1   0:00.03 atd
  870 root      20   0   29004   2980   2712 S  0.0  0.1   0:00.08 cron
  882 message+  20   0   42896   3668   3256 S  0.0  0.1   0:00.87 dbus-daemon
  902 root      20   0   95364   1520   1384 S  0.0  0.0   0:00.11 lxcfs
  906 root      20   0   28540   2924   2612 S  0.0  0.1   0:00.45 systemd-logind
  910 syslog    20   0  256388   3152   2568 S  0.0  0.1   0:00.43 rsyslogd
  916 root      20   0    4392   1276   1188 S  0.0  0.0   0:01.31 acpid
  938 root      20   0   13368    164     20 S  0.0  0.0   0:00.00 mdadm
  951 root      20   0  277084   5820   5164 S  0.0  0.2   0:00.32 polkitd
 1002 root      20   0  174620  19688  11564 S  0.0  0.6   0:03.21 unattended-upgr
 1013 root      20   0    5216    148     40 S  0.0  0.0   0:00.28 iscsid
 1014 root      10 -10    5716   3508   2428 S  0.0  0.1   0:01.14 iscsid
 1073 root      20   0   65828   3260   2756 S  0.0  0.1   0:00.39 login
 1198 siena     20   0   45316   4584   3864 S  0.0  0.1   0:00.29 systemd
 1204 siena     20   0   60928   1596      0 S  0.0  0.1   0:00.00 (sd-pam)
 1207 siena     20   0   22604   5216   3308 S  0.0  0.2   0:03.47 bash
 1314 root      20   0       0      0      0 S  0.0  0.0   0:00.50 kworker/u2:1
 1347 root      20   0       0      0      0 S  0.0  0.0   0:00.79 kworker/0:0
 1377 siena     20   0    4500    776    708 S  0.0  0.0   0:00.00 sh
 1378 siena     20   0    4500    784    712 S  0.0  0.0   0:00.01 sh
 1379 siena     20   0    4500   1504   1412 S  0.0  0.0   0:00.02 sh
